time,board,price,rate,quantity,volume,market,origin,tradeStatus,nemotecnico,fecha_dia
11:04,RTES,96.671,13.25,3000000000,3008067000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
11:08,RTES,96.733,13.24,4000000000,4013236000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
11:28,RTES,96.548,13.27,10000000000,10014590000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
11:53,RTES,96.424,13.29,3000000000,3000657000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:02,RTES,96.363,13.3,10000000000,9996090000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:04,RTES,96.35,13.302,10000000000,9994790000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:10,RTES,96.406,13.293,1000000000,1000039000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:23,RTES,96.671,13.25,60000000000,60161340000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:34,RTES,95.994,13.36,4000000000,3983676000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:36,RTES,95.994,13.36,5000000000,4979595000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
12:43,RTES,95.994,13.36,5000000000,4979595000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
13:24,RTES,95.75,13.4,5000000000,4967395000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
11:39,RTES,74.048,13.188,7000000000,5692491000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
11:39,RTES,74.271,13.145,4000000000,3261772000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
11:46,RTES,74.402,13.12,7000000000,5717271000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
12:11,RTES,74.349,13.13,250000000,204055750,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
12:48,RTES,73.923,13.212,5000000000,4059815000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
12:49,RTES,73.934,13.21,5000000000,4060365000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
12:55,RTES,73.985,13.2,5000000000,4062915000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
13:15,RTES,74.564,13.09,140000000000,114643200000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
13:24,RTES,73.753,13.245,6000000000,4861578000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT21280542,2026-03-11
10:56,RTES,86.303,13.825,3500000000,3202990000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
11:02,RTES,86.295,13.83,500000000,457530000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
11:20,RTES,86.295,13.83,500000000,457530000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:28,RTES,86.326,13.81,400000000,366148000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:29,RTES,86.326,13.81,800000000,732296000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:36,RTES,86.281,13.839,5000000000,4574600000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:37,RTES,86.281,13.839,5000000000,4574600000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:42,RTES,86.295,13.83,20000000000,18301200000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:42,RTES,86.217,13.88,30000000000,27428400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:44,RTES,86.287,13.835,16000000000,14639680000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:45,RTES,86.326,13.81,1500000000,1373055000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:47,RTES,86.287,13.835,10000000000,9149800000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:54,RTES,86.342,13.8,1500000000,1373295000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
12:59,RTES,86.201,13.89,5000000000,4570600000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
13:08,RTES,86.19,13.897,10000000000,9140100000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16280428,2026-03-11
09:08,RTES,87.732,13.24,200000000,189894200,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
10:36,RTES,87.978,13.2,6000000000,5711586000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT23250746,2026-03-11
